variant,display_name,evaluation_scope,probability_bin,rows,mean_probability,actual_positive_rate,calibration_gap
segment_industry_platt,Industry Segment Platt,valid,"(-0.001, 0.1]",362,0.025479765580071402,0.013812154696132596,0.011667610883938806
segment_industry_platt,Industry Segment Platt,valid,"(0.1, 0.2]",70,0.14659996386209762,0.14285714285714285,0.003742821004954766
segment_industry_platt,Industry Segment Platt,valid,"(0.2, 0.3]",32,0.24188054613199006,0.28125,-0.03936945386800994
segment_industry_platt,Industry Segment Platt,valid,"(0.3, 0.4]",24,0.34096057153373915,0.5416666666666666,-0.20070609513292748
segment_industry_platt,Industry Segment Platt,valid,"(0.4, 0.5]",26,0.4546212999829129,0.5,-0.045378700017087104
segment_industry_platt,Industry Segment Platt,valid,"(0.5, 0.6]",25,0.5419104790072086,0.48,0.061910479007208585
segment_industry_platt,Industry Segment Platt,valid,"(0.6, 0.7]",16,0.6595123668097158,0.5625,0.09701236680971581
segment_industry_platt,Industry Segment Platt,valid,"(0.7, 0.8]",24,0.7565228263808058,0.75,0.006522826380805813
segment_industry_platt,Industry Segment Platt,valid,"(0.8, 0.9]",42,0.8521769179320954,0.8333333333333334,0.01884358459876201
segment_industry_platt,Industry Segment Platt,valid,"(0.9, 1.0]",55,0.9536256536145301,0.9454545454545454,0.008171108159984675
segment_industry_platt,Industry Segment Platt,test,"(-0.001, 0.1]",536,0.02234231386417158,0.024253731343283583,-0.0019114174791120021
segment_industry_platt,Industry Segment Platt,test,"(0.1, 0.2]",92,0.14094263456213232,0.06521739130434782,0.0757252432577845
segment_industry_platt,Industry Segment Platt,test,"(0.2, 0.3]",43,0.2508746266902389,0.18604651162790697,0.06482811506233194
segment_industry_platt,Industry Segment Platt,test,"(0.3, 0.4]",27,0.3513083287592736,0.4074074074074074,-0.05609907864813379
segment_industry_platt,Industry Segment Platt,test,"(0.4, 0.5]",33,0.45338184542589527,0.5454545454545454,-0.09207270002865015
segment_industry_platt,Industry Segment Platt,test,"(0.5, 0.6]",33,0.54977045746274,0.5454545454545454,0.004315912008194589
segment_industry_platt,Industry Segment Platt,test,"(0.6, 0.7]",32,0.6545815811002067,0.65625,-0.0016684188997933003
segment_industry_platt,Industry Segment Platt,test,"(0.7, 0.8]",39,0.7563313211831897,0.6666666666666666,0.08966465451652306
segment_industry_platt,Industry Segment Platt,test,"(0.8, 0.9]",29,0.8584626643935003,0.8620689655172413,-0.0036063011237410514
segment_industry_platt,Industry Segment Platt,test,"(0.9, 1.0]",60,0.9594199476185117,0.95,0.009419947618511726
