market,industry_macro_category,split,feature,count,mean_abs_shap,mean_signed_shap,rank_within_group
KOSDAQ,manufacturing,train,total_borrowings_ratio,661,0.26169061920015246,-0.12498364183888312,22
KOSDAQ,manufacturing,train,pretax_roe,56,0.25559632533362936,0.25559632533362936,23
KOSDAQ,manufacturing,train,ocf_to_sales,129,0.23524569991485092,-0.12481867192789566,24
KOSDAQ,manufacturing,train,accruals_ratio,115,0.22986198838638222,0.20771060190770937,25
KOSDAQ,manufacturing,train,cashflow_coverage_ratio,878,0.22495309451853768,-0.1080909928726987,26
KOSDAQ,manufacturing,train,operating_roa,70,0.19981009289622306,-0.16810990156871933,27
KOSDAQ,manufacturing,train,ocf_to_total_liabilities,16,0.18882778845727444,-0.002934926189482212,28
KOSDAQ,manufacturing,train,industry_macro_category,233,0.16790049938812787,0.16790049938812787,29
KOSDAQ,manufacturing,train,market,4,0.10459156520664692,0.10459156520664692,30
KOSDAQ,manufacturing,valid,interest_coverage_ratio,259,0.5383645663735489,-0.11869663857355081,1
KOSDAQ,manufacturing,valid,short_term_borrowings_share,37,0.47973906329354726,-0.4744850737420288,2
KOSDAQ,manufacturing,valid,ocf_to_total_borrowings,16,0.4578816434368491,-0.4281682940199971,3
KOSDAQ,manufacturing,valid,gross_profit,253,0.43946963772472186,0.2579558664866587,4
KOSDAQ,manufacturing,valid,net_margin_diff,66,0.4161912177999814,0.11563531264211192,5
KOSDAQ,manufacturing,valid,net_margin,220,0.4096853631125255,-0.02535906220701608,6
KOSDAQ,manufacturing,valid,equity_ratio,148,0.4027195994717044,-0.13517686029946482,7
KOSDAQ,manufacturing,valid,market_to_book,13,0.37276947784882325,0.2747579188301013,8
KOSDAQ,manufacturing,valid,capital_impairment_ratio,207,0.3550324507309619,-0.08095994955243696,9
KOSDAQ,manufacturing,valid,assets_total,180,0.3506378701991505,0.039111475149790444,10
KOSDAQ,manufacturing,valid,intangible_assets_ratio,22,0.347409555519169,0.08208195086229932,11
KOSDAQ,manufacturing,valid,depreciation,127,0.3446765166568005,0.029144306821147287,12
KOSDAQ,manufacturing,valid,total_debt_turnover,82,0.34236755667299756,-0.28007683221523355,13
KOSDAQ,manufacturing,valid,listed_year,159,0.3413517153675451,0.004811243534837879,14
KOSDAQ,manufacturing,valid,dividend_payer,264,0.33193567033969995,-0.037441014114654426,15
KOSDAQ,manufacturing,valid,debt_ratio,92,0.31358401299170824,-0.250430209643167,16
KOSDAQ,manufacturing,valid,firm_size_group,158,0.3047042921468427,0.22705557286927971,17
KOSDAQ,manufacturing,valid,cash_ratio,46,0.29545390897470974,-0.06255213883907898,18
KOSDAQ,manufacturing,valid,current_ratio,27,0.28455842037995654,0.266774735516972,19
KOSDAQ,manufacturing,valid,total_assets_growth,16,0.28430476086214185,0.23602186469361186,20
KOSDAQ,manufacturing,valid,total_borrowings_ratio,120,0.2597408958400289,-0.145646909934779,21
KOSDAQ,manufacturing,valid,is_2y_consecutive_ocf_deficit,18,0.2566334423091676,0.2566334423091676,22
KOSDAQ,manufacturing,valid,ocf_to_sales,32,0.25153952836990356,-0.05493359733372927,23
KOSDAQ,manufacturing,valid,pretax_roe,18,0.2502256921595997,0.19636913885672888,24
KOSDAQ,manufacturing,valid,cashflow_coverage_ratio,157,0.22219033895214652,-0.05782490195172608,25
KOSDAQ,manufacturing,valid,accruals_ratio,16,0.2091256924904883,0.19975264323875308,26
KOSDAQ,manufacturing,valid,ocf_to_total_liabilities,2,0.20425786823034286,-0.05309004336595535,27
KOSDAQ,manufacturing,valid,operating_roa,11,0.19244737245819785,-0.0605001070282676,28
KOSDAQ,manufacturing,valid,industry_macro_category,38,0.1637547190644239,0.1637547190644239,29
KOSDAQ,manufacturing,valid,pretax_roa,1,0.08730654418468475,-0.08730654418468475,30
KOSDAQ,manufacturing,valid,market,5,0.07510022073984146,0.07510022073984146,31
KOSDAQ,other,test,industry_macro_category,3,0.9287038246790568,-0.9287038246790568,1
