prediction_result,market,stock_code,corp_name,fiscal_year,eval_year,credit_rating,credit_rating_rank,rating_boundary_group,rating_agency_group,selection_scope,industry_macro_category,firm_size_group,prob_speculative,threshold,distance_from_threshold,actual_label_name,predicted_label_name,confidence_error_score
false_positive,KOSPI,004540,깨끗한나라(주),2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,BIG3,BIG3,manufacturing,mid_sized,0.416276799332284,0.32,0.096276799332284,투자적격,투기등급,0.416276799332284
false_positive,KOSDAQ,318160,(주)셀바이오휴먼텍,2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.4145743949361037,0.32,0.0945743949361037,투자적격,투기등급,0.4145743949361037
false_positive,KOSDAQ,033050,제이엠아이(주),2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.4124097457088997,0.32,0.0924097457088997,투자적격,투기등급,0.4124097457088997
false_positive,KOSPI,042660,한화오션(주),2024,2025,BBB+,8.0,near_investment_BBB_plus_to_BBB_minus,BIG3,BIG3,manufacturing,large,0.4108202363587308,0.32,0.09082023635873077,투자적격,투기등급,0.4108202363587308
false_positive,KOSDAQ,297890,에이치비솔루션(주),2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.4099115145582263,0.32,0.08991151455822627,투자적격,투기등급,0.4099115145582263
false_positive,KOSPI,042660,한화오션(주),2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,BIG3,BIG3,manufacturing,large,0.3945142637892538,0.32,0.0745142637892538,투자적격,투기등급,0.3945142637892538
false_positive,KOSDAQ,027050,(주)코리아나화장품,2023,2024,BBB+,8.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.3939868990153363,0.32,0.07398689901533628,투자적격,투기등급,0.3939868990153363
false_positive,KOSDAQ,104620,(주)노랑풍선,2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,it_services,small_and_medium,0.3925726619130799,0.32,0.07257266191307987,투자적격,투기등급,0.3925726619130799
false_positive,KOSDAQ,007680,(주)대원,2023,2024,A-,7.0,upper_investment_A_or_above,OTHER,OTHER_DOMESTIC,construction,mid_sized,0.3896891599189712,0.32,0.06968915991897118,투자적격,투기등급,0.3896891599189712
false_positive,KOSDAQ,238490,(주)힘스,2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.3652230628937253,0.32,0.045223062893725297,투자적격,투기등급,0.3652230628937253
false_positive,KOSPI,298000,효성화학(주),2024,2025,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,BIG3,BIG3,manufacturing,large,0.3646911577457715,0.32,0.04469115774577148,투자적격,투기등급,0.3646911577457715
false_positive,KOSDAQ,419080,엔젯(주),2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.3510530937459483,0.32,0.03105309374594828,투자적격,투기등급,0.3510530937459483
