threshold,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,delta_precision,delta_recall,delta_f1,delta_false_positive,delta_false_negative
0.6,0.7542372881355932,0.5329341317365269,0.624561403508772,476,29,78,89,0.1142372881355932,-0.3293413173652695,-0.11013247404224846,-52,55
0.605,0.7606837606837606,0.5329341317365269,0.6267605633802817,477,28,78,89,0.12068376068376063,-0.3293413173652695,-0.1079333141707387,-53,55
0.61,0.7672413793103449,0.5329341317365269,0.6289752650176679,478,27,78,89,0.12724137931034485,-0.3293413173652695,-0.10571861253335257,-54,55
0.615,0.7678571428571429,0.5149700598802395,0.6164874551971327,479,26,81,86,0.1278571428571429,-0.34730538922155696,-0.11820642235388779,-55,58
0.62,0.7747747747747747,0.5149700598802395,0.6187050359712231,480,25,81,86,0.13477477477477473,-0.34730538922155696,-0.11598884157979739,-56,58
0.625,0.7747747747747747,0.5149700598802395,0.6187050359712231,480,25,81,86,0.13477477477477473,-0.34730538922155696,-0.11598884157979739,-56,58
0.63,0.7818181818181819,0.5149700598802395,0.6209386281588448,481,24,81,86,0.14181818181818184,-0.34730538922155696,-0.11375524939217563,-57,58
0.635,0.7777777777777778,0.5029940119760479,0.610909090909091,481,24,83,84,0.13777777777777778,-0.35928143712574856,-0.12378478664192949,-57,60
0.64,0.7735849056603774,0.49101796407185627,0.6007326007326007,481,24,85,82,0.1335849056603774,-0.37125748502994016,-0.13396127681841974,-57,62
0.645,0.7692307692307693,0.47904191616766467,0.5904059040590406,481,24,87,80,0.12923076923076926,-0.38323353293413176,-0.14428797349197986,-57,64
0.65,0.7692307692307693,0.47904191616766467,0.5904059040590406,481,24,87,80,0.12923076923076926,-0.38323353293413176,-0.14428797349197986,-57,64
0.655,0.7669902912621359,0.47305389221556887,0.5851851851851851,481,24,88,79,0.1269902912621359,-0.38922155688622756,-0.1495086923658353,-57,65
0.66,0.7669902912621359,0.47305389221556887,0.5851851851851851,481,24,88,79,0.1269902912621359,-0.38922155688622756,-0.1495086923658353,-57,65
0.665,0.7821782178217822,0.47305389221556887,0.5895522388059702,483,22,88,79,0.1421782178217822,-0.38922155688622756,-0.14514163874505026,-59,65
0.67,0.7777777777777778,0.46107784431137727,0.5789473684210527,483,22,90,77,0.13777777777777778,-0.40119760479041916,-0.1557465091299678,-59,67
0.675,0.7777777777777778,0.46107784431137727,0.5789473684210527,483,22,90,77,0.13777777777777778,-0.40119760479041916,-0.1557465091299678,-59,67
0.68,0.7938144329896907,0.46107784431137727,0.5833333333333334,485,20,90,77,0.15381443298969066,-0.40119760479041916,-0.15136054421768708,-61,67
0.685,0.7916666666666666,0.4550898203592814,0.5779467680608364,485,20,91,76,0.15166666666666662,-0.407185628742515,-0.156747109490184,-61,68
0.69,0.7916666666666666,0.4550898203592814,0.5779467680608364,485,20,91,76,0.15166666666666662,-0.407185628742515,-0.156747109490184,-61,68
0.695,0.8,0.4550898203592814,0.5801526717557252,486,19,91,76,0.16000000000000003,-0.407185628742515,-0.1545412057952953,-62,68
0.7,0.8089887640449438,0.4311377245508982,0.5625,488,17,95,72,0.16898876404494378,-0.4311377245508982,-0.17219387755102045,-64,72
0.705,0.8214285714285714,0.41317365269461076,0.549800796812749,490,15,98,69,0.18142857142857138,-0.44910179640718567,-0.1848930807382715,-66,75
0.71,0.8214285714285714,0.41317365269461076,0.549800796812749,490,15,98,69,0.18142857142857138,-0.44910179640718567,-0.1848930807382715,-66,75
0.715,0.8214285714285714,0.41317365269461076,0.549800796812749,490,15,98,69,0.18142857142857138,-0.44910179640718567,-0.1848930807382715,-66,75
0.72,0.8125,0.38922155688622756,0.5263157894736842,490,15,102,65,0.1725,-0.47305389221556887,-0.20837808807733627,-66,79
0.725,0.810126582278481,0.38323353293413176,0.5203252032520326,490,15,103,64,0.170126582278481,-0.47904191616766467,-0.21436867429898787,-66,80
0.73,0.8205128205128205,0.38323353293413176,0.5224489795918368,491,14,103,64,0.18051282051282047,-0.47904191616766467,-0.21224489795918366,-67,80
0.735,0.8266666666666667,0.3712574850299401,0.512396694214876,492,13,105,62,0.18666666666666665,-0.4910179640718563,-0.22229718333614445,-68,82
0.74,0.8243243243243243,0.3652694610778443,0.5062240663900415,492,13,106,61,0.18432432432432433,-0.4970059880239521,-0.22846981116097898,-68,83
0.745,0.8243243243243243,0.3652694610778443,0.5062240663900415,492,13,106,61,0.18432432432432433,-0.4970059880239521,-0.22846981116097898,-68,83
0.75,0.821917808219178,0.3592814371257485,0.5,492,13,107,60,0.18191780821917802,-0.5029940119760479,-0.23469387755102045,-68,84
0.755,0.8333333333333334,0.3592814371257485,0.502092050209205,493,12,107,60,0.19333333333333336,-0.5029940119760479,-0.23260182734181545,-69,84
0.76,0.8333333333333334,0.3592814371257485,0.502092050209205,493,12,107,60,0.19333333333333336,-0.5029940119760479,-0.23260182734181545,-69,84
0.765,0.8309859154929577,0.3532934131736527,0.4957983193277311,493,12,108,59,0.19098591549295774,-0.5089820359281437,-0.23889555822328934,-69,85
0.77,0.8382352941176471,0.3413173652694611,0.4851063829787234,494,11,110,57,0.19823529411764707,-0.5209580838323353,-0.24958749457229706,-70,87
0.775,0.8382352941176471,0.3413173652694611,0.4851063829787234,494,11,110,57,0.19823529411764707,-0.5209580838323353,-0.24958749457229706,-70,87
0.78,0.8507462686567164,0.3413173652694611,0.48717948717948717,495,10,110,57,0.21074626865671642,-0.5209580838323353,-0.24751439037153328,-71,87
0.785,0.8615384615384616,0.33532934131736525,0.4827586206896552,496,9,111,56,0.22153846153846157,-0.5269461077844312,-0.25193525686136525,-72,88
0.79,0.875,0.33532934131736525,0.48484848484848486,497,8,111,56,0.235,-0.5269461077844312,-0.24984539270253558,-73,88
0.795,0.875,0.33532934131736525,0.48484848484848486,497,8,111,56,0.235,-0.5269461077844312,-0.24984539270253558,-73,88
0.8,0.873015873015873,0.32934131736526945,0.4782608695652174,497,8,112,55,0.233015873015873,-0.532934131736527,-0.25643300798580304,-73,89
0.805,0.8709677419354839,0.32335329341317365,0.47161572052401746,497,8,113,54,0.23096774193548386,-0.5389221556886228,-0.263078157027003,-73,90
0.81,0.8688524590163934,0.31736526946107785,0.4649122807017544,497,8,114,53,0.2288524590163934,-0.5449101796407185,-0.26978159684926606,-73,91
0.815,0.8666666666666667,0.31137724550898205,0.4581497797356828,497,8,115,52,0.22666666666666668,-0.5508982035928144,-0.2765440978153376,-73,92
0.82,0.8813559322033898,0.31137724550898205,0.46017699115044247,498,7,115,52,0.2413559322033898,-0.5508982035928144,-0.274516886400578,-74,92
0.825,0.9285714285714286,0.31137724550898205,0.4663677130044843,501,4,115,52,0.2885714285714286,-0.5508982035928144,-0.26832616454653613,-77,92
0.83,0.9272727272727272,0.30538922155688625,0.4594594594594595,501,4,116,51,0.28727272727272724,-0.5568862275449102,-0.27523441809156096,-77,93
0.835,0.9272727272727272,0.30538922155688625,0.4594594594594595,501,4,116,51,0.28727272727272724,-0.5568862275449102,-0.27523441809156096,-77,93
0.84,0.9245283018867925,0.2934131736526946,0.44545454545454544,501,4,118,49,0.28452830188679246,-0.5688622754491018,-0.289239332096475,-77,95
0.845,0.9215686274509803,0.281437125748503,0.43119266055045874,501,4,120,47,0.2815686274509803,-0.5808383233532934,-0.3035012170005617,-77,97
0.85,0.92,0.2754491017964072,0.423963133640553,501,4,121,46,0.28,-0.5868263473053892,-0.31073074391046746,-77,98
0.855,0.9166666666666666,0.2634730538922156,0.40930232558139534,501,4,123,44,0.2766666666666666,-0.5988023952095809,-0.3253915519696251,-77,100
0.86,0.9166666666666666,0.2634730538922156,0.40930232558139534,501,4,123,44,0.2766666666666666,-0.5988023952095809,-0.3253915519696251,-77,100
0.865,0.9111111111111111,0.24550898203592814,0.3867924528301887,501,4,126,41,0.2711111111111111,-0.6167664670658684,-0.34790142472083174,-77,103
